Nom;Type;ID equipement;Référence constructeur;Date d'installation;Notes;Secteur;Bâtiment;Adresse;Niveau;Salle;Date limite;Date de réalisation;Jours d'avance/de retard;Type de l'équipement;Type d'intervention;Objet de l'intervention;Durée;Mainteneur;Contrôleur;Commentaire mainteneur;Motif de rejet;Points de contrôles
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;04-10-2023;29-09-2023;-4;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 25;02h00;Loïse DELAHAYE;Dorothée DAILLY;NULL;NULL;Contrôler l'étanchéité du circuit d'huile: O, Vérification de fuite éventuelle en air comprimé: O, Nettoyer les grilles de ventilation des moteurs: O, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: O, Nettoyage complet de la machine: O, Vérification des capteurs de présence linge: O, Contrôler le racloir de linge pneumatique: O, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: O, Nettoyage complet de l'ensemble des capteurs: O
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;27-09-2023;26-09-2023;0;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 24;02h00;Loïse DELAHAYE;Dorothée DAILLY;entretien complet ;NULL;Contrôler l'étanchéité du circuit d'huile: X, Vérification de fuite éventuelle en air comprimé: X, Nettoyer les grilles de ventilation des moteurs: X, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: X, Nettoyage complet de la machine: X, Vérification des capteurs de présence linge: X, Contrôler le racloir de linge pneumatique: X, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: X, Nettoyage complet de l'ensemble des capteurs: X
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;20-09-2023;19-09-2023;0;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 23;02h00;Loïse DELAHAYE;Dorothée DAILLY;NULL;NULL;Contrôler l'étanchéité du circuit d'huile: X, Vérification de fuite éventuelle en air comprimé: X, Nettoyer les grilles de ventilation des moteurs: X, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: X, Nettoyage complet de la machine: X, Vérification des capteurs de présence linge: X, Contrôler le racloir de linge pneumatique: X, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: X, Nettoyage complet de l'ensemble des capteurs: X
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;13-09-2023;08-09-2023;-4;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 22;00h05;Loïse DELAHAYE;Dorothée DAILLY;l entretien d aujourd'hui n a pu être fait manque de personnel technique ;NULL;Contrôler l'étanchéité du circuit d'huile: O, Vérification de fuite éventuelle en air comprimé: O, Nettoyer les grilles de ventilation des moteurs: O, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: O, Nettoyage complet de la machine: O, Vérification des capteurs de présence linge: O, Contrôler le racloir de linge pneumatique: O, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: O, Nettoyage complet de l'ensemble des capteurs: O
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;06-09-2023;07-09-2023;1;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 21;02h00;Loïse DELAHAYE;Dorothée DAILLY;entretien réalisé hier soir en complet ;NULL;Contrôler l'étanchéité du circuit d'huile: O, Vérification de fuite éventuelle en air comprimé: O, Nettoyer les grilles de ventilation des moteurs: O, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: O, Nettoyage complet de la machine: O, Vérification des capteurs de présence linge: O, Contrôler le racloir de linge pneumatique: O, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: O, Nettoyage complet de l'ensemble des capteurs: O
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;04-09-2023;04-09-2023;0;CALANDRE BUANDERIE;Préventive;l entretien 01/09/23;00h05;Loïse DELAHAYE;Dorothée DAILLY;l entretien 01/09/23 n a pu être fait manque de personnel technique ;Maintenance impossible à réaliser faute de disponibilité du personnel du service technique de l'hôtel;NULL
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;30-08-2023;28-08-2023;-1;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 20;00h05;Loïse DELAHAYE;Dorothée DAILLY;entretien  n a pu être fait car personnel technique absent ;NULL;Contrôler l'étanchéité du circuit d'huile: O, Vérification de fuite éventuelle en air comprimé: O, Nettoyer les grilles de ventilation des moteurs: O, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: O, Nettoyage complet de la machine: O, Vérification des capteurs de présence linge: O, Contrôler le racloir de linge pneumatique: O, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: O, Nettoyage complet de l'ensemble des capteurs: O
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;23-08-2023;28-08-2023;5;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 19;01h00;Loïse DELAHAYE;Dorothée DAILLY;entretien de la semaine ;NULL;Contrôler l'étanchéité du circuit d'huile: X, Vérification de fuite éventuelle en air comprimé: X, Nettoyer les grilles de ventilation des moteurs: X, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: X, Nettoyage complet de la machine: X, Vérification des capteurs de présence linge: X, Contrôler le racloir de linge pneumatique: X, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: X, Nettoyage complet de l'ensemble des capteurs: X
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;16-08-2023;01-08-2023;-14;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 18;02h00;Loïse DELAHAYE;Dorothée DAILLY;NULL;NULL;Contrôler l'étanchéité du circuit d'huile: X, Vérification de fuite éventuelle en air comprimé: X, Nettoyer les grilles de ventilation des moteurs: X, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: X, Nettoyage complet de la machine: X, Vérification des capteurs de présence linge: X, Contrôler le racloir de linge pneumatique: X, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: X, Nettoyage complet de l'ensemble des capteurs: X
CALANDRE;CALANDRE BUANDERIE;2F 120;NULL;NULL;NULL;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;NULL;NULL;09-08-2023;28-07-2023;-11;CALANDRE BUANDERIE;Préventive;HEBDOMADAIRE - Maintenance 17;01h00;Loïse DELAHAYE;Dorothée DAILLY;NULL;NULL;Contrôler l'étanchéité du circuit d'huile: X, Vérification de fuite éventuelle en air comprimé: X, Nettoyer les grilles de ventilation des moteurs: X, Vérifier que les courroies d'entrée ne sont pas endommagées et que la tension soit correct: X, Nettoyage complet de la machine: X, Vérification des capteurs de présence linge: X, Contrôler le racloir de linge pneumatique: X, Vérifier le filtre régulateur lubrificateur d'air comprimé pour le système pneumatique: X, Nettoyage complet de l'ensemble des capteurs: X
